period,FRED_CPI_NL
1960-04-01,15.7800250630716
1960-05-01,15.6282940555172
1960-06-01,15.4765630420603
1960-07-01,15.4765630420603
1960-08-01,15.3248320345060
1960-09-01,15.4765630420603
1960-10-01,15.3248320345060
1960-11-01,15.3248320345060
1960-12-01,15.3248320345060
1961-01-01,15.4765630420603
1961-02-01,15.4765630420603
1961-03-01,15.3248320345060
1961-04-01,15.6282940555172
1961-05-01,15.7800250630716
1961-06-01,15.7800250630716
1961-07-01,15.6282940555172
1961-08-01,15.6282940555172
1961-09-01,15.6282940555172
1961-10-01,15.6282940555172
1961-11-01,15.6282940555172
1961-12-01,15.6282940555172
1962-01-01,15.6282940555172
1962-02-01,15.6282940555172
1962-03-01,15.7800250630716
1962-04-01,16.3869491050940
1962-05-01,16.0834870840828
1962-06-01,16.3869491050940
1962-07-01,15.9317560765285
1962-08-01,15.9317560765285
1962-09-01,16.0834870840828
1962-10-01,15.9317560765285
1962-11-01,15.9317560765285
1962-12-01,16.0834870840828
1963-01-01,16.2352180975397
1963-02-01,16.5386801185509
1963-03-01,16.5386801185509
1963-04-01,16.6904111261053
1963-05-01,16.5386801185509
1963-06-01,16.6904111261053
1963-07-01,16.2352180975397
1963-08-01,16.2352180975397
1963-09-01,16.5386801185509
1963-10-01,16.5386801185509
1963-11-01,16.5386801185509
1963-12-01,16.6904111261053
1964-01-01,16.9938731471165
1964-02-01,16.9938731471165
1964-03-01,17.1456041546709
1964-04-01,17.9042592101502
1964-05-01,17.4490661756821
1964-06-01,17.4490661756821
1964-07-01,17.4490661756821
1964-08-01,17.6007971891390
1964-09-01,17.7525281966933
1964-10-01,17.6007971891390
1964-11-01,17.6007971891390
1964-12-01,17.6007971891390
1965-01-01,17.6933531050457
1965-02-01,17.7631493680485
1965-03-01,17.8678437655040
1965-04-01,18.0074362915095
1965-05-01,18.0772325604149
1965-06-01,18.1470288234177
1965-07-01,18.1295797561913
1965-08-01,18.2866213553258
1965-09-01,18.3738666855550
1965-10-01,18.3738666855550
1965-11-01,18.4785610830104
1965-12-01,18.5309082787869
1966-01-01,18.7751952081505
1966-02-01,19.0020330643852
1966-03-01,19.0892783946143
1966-04-01,19.2288709265225
1966-05-01,19.2288709265225
1966-06-01,19.2986671895253
1966-07-01,19.1590746635197
1966-08-01,19.2637690609751
1966-09-01,19.2986671895253
1966-10-01,19.2986671895253
1966-11-01,19.3161162567516
1966-12-01,19.3161162567516
1967-01-01,19.4208106542071
1967-02-01,19.5604031861152
1967-03-01,19.6476485163443
1967-04-01,19.7697919810261
1967-05-01,19.7697919810261
1967-06-01,19.7872410423499
1967-07-01,19.8570373112553
1967-08-01,20.0140789044872
1967-09-01,20.0838751674900
1967-10-01,20.1187733019426
1967-11-01,20.1013242347163
1967-12-01,20.1013242347163
1968-01-01,20.2060186321718
1968-02-01,20.3281620968536
1968-03-01,20.4154074270827
1968-04-01,20.5026527573118
1968-05-01,20.5201018245382
1968-06-01,20.5549999589909
1968-07-01,20.4852036900855
1968-08-01,20.6771434177701
1968-09-01,20.7469396866754
1968-10-01,20.8516340841309
1968-11-01,20.8690831454547
1968-12-01,20.9388794143600
1969-01-01,21.6717401906458
1969-02-01,21.8636799183303
1969-03-01,22.0207215174648
1969-04-01,22.2126612451494
1969-05-01,22.1777631106967
1969-06-01,22.1777631106967
1969-07-01,21.9858233830122
1969-08-01,22.1079668476939
1969-09-01,22.2475593736995
1969-10-01,22.3522537711550
1969-11-01,22.3173556426049
1969-12-01,22.2999065753786
1970-01-01,22.3024192389342
1970-02-01,22.4572971511355
1970-03-01,22.6564258928646
1970-04-01,22.7670529755381
1970-05-01,22.7891783873507
1970-06-01,22.8555546345938
1970-07-01,22.9219308877394
1970-08-01,23.0546833822255
1970-09-01,23.2316867062394
1970-10-01,23.3201883711976
1970-11-01,23.3865646184407
1970-12-01,23.4308154538711
1971-01-01,23.6741950251280
1971-02-01,23.9839508495306
1971-03-01,24.1388287617319
1971-04-01,24.4485845861345
1971-05-01,24.5592116629054
1971-06-01,24.6034624924332
1971-07-01,24.6477133278636
1971-08-01,24.8025912400649
1971-09-01,25.0238453995092
1971-10-01,25.2008487235232
1971-11-01,25.2672249707662
1971-12-01,25.3999774652523
1972-01-01,25.6212316246966
1972-02-01,25.8203603723283
1972-03-01,26.0416145258701
1972-04-01,26.3956211857031
1972-05-01,26.4619974329461
1972-06-01,26.5283736801891
1972-07-01,26.4398720152309
1972-08-01,26.6390007569600
1972-09-01,26.8823803341196
1972-10-01,27.2363869880500
1972-11-01,27.3470140648209
1972-12-01,27.4133903179665
1973-01-01,27.6346444774108
1973-02-01,27.7452715541817
1973-03-01,28.0329019608691
1973-04-01,28.4975356974729
1973-05-01,28.6524136037717
1973-06-01,28.7187898569173
1973-07-01,28.6524136037717
1973-08-01,28.8072915159729
1973-09-01,29.0949219226603
1973-10-01,29.3825523293477
1973-11-01,29.5153048238338
1973-12-01,29.6701827360351
1974-01-01,29.8914368954794
1974-02-01,30.1790673021668
1974-03-01,30.6215756210554
1974-04-01,31.0198331104162
1974-05-01,31.1747110226175
1974-06-01,31.2632126816732
1974-07-01,31.3738397643467
1974-08-01,31.6172193415062
1974-09-01,32.1039784899227
1974-10-01,32.5243613910962
1974-11-01,32.7677409682557
1974-12-01,32.9004934627418
1975-01-01,33.2102492871444
1975-02-01,33.2987509462000
1975-03-01,33.7855101005191
1975-04-01,34.2058930016926
1975-05-01,34.4050217434217
1975-06-01,34.4713979906647
1975-07-01,34.6705267323939
1975-08-01,35.0024079745116
