period,FRED_GDP 
1960-02-01,103.2181097964680
1960-03-01,103.1697676192130
1960-04-01,103.0777174050150
1960-05-01,102.8891197477280
1960-06-01,102.5793648260440
1960-07-01,102.1952729462660
1960-08-01,101.8078482391490
1960-09-01,101.4709985859630
1960-10-01,101.1814823602550
1960-11-01,100.9047059490110
1960-12-01,100.5964713961060
1961-01-01,100.2234405924190
1961-02-01,99.7674844858415
1961-03-01,99.2344588841536
1961-04-01,98.6683900291763
1961-05-01,98.1295549056274
1961-06-01,97.6756684049027
1961-07-01,97.3419686172744
1961-08-01,97.1513175218044
1961-09-01,97.1153629287485
1961-10-01,97.2251202239944
1961-11-01,97.4644746015613
1961-12-01,97.8126535774935
1962-01-01,98.2369178600607
1962-02-01,98.7035712742493
1962-03-01,99.1831371970272
1962-04-01,99.6521142443576
1962-05-01,100.0800205564090
1962-06-01,100.4165955043360
1962-07-01,100.5816200166010
1962-08-01,100.4879082617110
1962-09-01,100.0767439972500
1962-10-01,99.3701821440854
1962-11-01,98.4611772479435
1962-12-01,97.5222470907672
1963-01-01,96.7767353380111
1963-02-01,96.4409075581254
1963-03-01,96.6054477928500
1963-04-01,97.1979359699138
1963-05-01,98.0273916109304
1963-06-01,98.9042835414064
1963-07-01,99.6974326186990
1963-08-01,100.3476131564880
1963-09-01,100.8395966060470
1963-10-01,101.1825236253250
1963-11-01,101.3944378855240
1963-12-01,101.4967254738420
1964-01-01,101.5175254358010
1964-02-01,101.4851355470360
1964-03-01,101.4271268399320
1964-04-01,101.3731814060470
1964-05-01,101.3486728203900
1964-06-01,101.3679653020600
1964-07-01,101.4255396941750
1964-08-01,101.5087794157700
1964-09-01,101.6077173656480
1964-10-01,101.7227248520530
1964-11-01,101.8513664351010
1964-12-01,101.9739510677840
1965-01-01,102.0379583035030
1965-02-01,101.9878371407290
1965-03-01,101.7987314747240
1965-04-01,101.5173731764720
1965-05-01,101.2184713254820
1965-06-01,100.9680927887330
1965-07-01,100.7892332663970
1965-08-01,100.6709488451690
1965-09-01,100.5719772595790
1965-10-01,100.4198085850200
1965-11-01,100.1510673953300
1965-12-01,99.7550254379577
1966-01-01,99.3236483671402
1966-02-01,98.9821384389434
1966-03-01,98.8237178804662
1966-04-01,98.8393179548971
1966-05-01,98.9686160393224
1966-06-01,99.1364483075759
1966-07-01,99.2805146491860
1966-08-01,99.3570548626844
1966-09-01,99.3481403779272
1966-10-01,99.2733531556758
1966-11-01,99.1670920047538
1966-12-01,99.0604813552620
1967-01-01,98.9656433255377
1967-02-01,98.8845409261446
1967-03-01,98.8167188957545
1967-04-01,98.7658084427627
1967-05-01,98.7372465748382
1967-06-01,98.7346485756956
1967-07-01,98.7544318798507
1967-08-01,98.7937161889227
1967-09-01,98.8563414377730
1967-10-01,98.9572437924354
1967-11-01,99.1078787274539
1967-12-01,99.2986818463066
1968-01-01,99.4775817219325
1968-02-01,99.5821685569513
1968-03-01,99.5724378940366
1968-04-01,99.4682281983702
1968-05-01,99.3202968360170
1968-06-01,99.1879236947180
1968-07-01,99.1199718304988
1968-08-01,99.1467295362108
1968-09-01,99.2671373904796
1968-10-01,99.4288290654152
1968-11-01,99.5660390623785
1968-12-01,99.6341544367164
1969-01-01,99.6456671811757
1969-02-01,99.6421114452695
1969-03-01,99.6698883284738
1969-04-01,99.7573352800353
1969-05-01,99.9182521086891
1969-06-01,100.1509714671680
1969-07-01,100.4318848775220
1969-08-01,100.7222543492910
1969-09-01,100.9713813640810
1969-10-01,101.1191069143830
1969-11-01,101.1189694481390
1969-12-01,100.9683852501410
1970-01-01,100.7482138955710
1970-02-01,100.5654721639570
1970-03-01,100.5019362003600
1970-04-01,100.5611541300720
1970-05-01,100.7084491393600
1970-06-01,100.9010890807330
1970-07-01,101.1118972015170
1970-08-01,101.3225543197840
1970-09-01,101.5156777246640
1970-10-01,101.6669410802050
1970-11-01,101.7522885514270
1970-12-01,101.7582044666330
1971-01-01,101.6966399797050
1971-02-01,101.5879462560170
1971-03-01,101.4488367607690
1971-04-01,101.2840701601680
1971-05-01,101.0896735762010
1971-06-01,100.8582239801650
1971-07-01,100.5864252747570
1971-08-01,100.2812077898900
1971-09-01,99.9688141359578
1971-10-01,99.7063444501583
1971-11-01,99.5517665622982
1971-12-01,99.5312859615437
1972-01-01,99.5992017903907
1972-02-01,99.6818586694150
1972-03-01,99.7147499710551
1972-04-01,99.6786520320840
1972-05-01,99.5841398277506
1972-06-01,99.4610174727053
1972-07-01,99.3520590666628
1972-08-01,99.3018484026407
1972-09-01,99.3450606044907
1972-10-01,99.4908337212889
1972-11-01,99.7263190661069
1972-12-01,100.0126280833910
1973-01-01,100.2741355426480
1973-02-01,100.4303500790870
1973-03-01,100.4300193686300
1973-04-01,100.2925602593060
1973-05-01,100.0781907385200
1973-06-01,99.8675461469710
1973-07-01,99.7473967191297
1973-08-01,99.7876511343132
1973-09-01,100.0125396013720
1973-10-01,100.3596145372320
1973-11-01,100.7345787349790
1973-12-01,101.0570773739370
1974-01-01,101.3051400507590
1974-02-01,101.4866296474970
1974-03-01,101.6155690508480
1974-04-01,101.6931115995250
1974-05-01,101.7063781265510
1974-06-01,101.6312017064050
1974-07-01,101.4397187655080
1974-08-01,101.1061048190910
1974-09-01,100.6207106842080
1974-10-01,100.0139211679560
1974-11-01,99.3380412852040
1974-12-01,98.6582406853943
1975-01-01,98.0491253812284
1975-02-01,97.5793635358630
1975-03-01,97.2924227950918
1975-04-01,97.1778459657621
1975-05-01,97.2073085624515
1975-06-01,97.3573759572029
